billboard_id,latitude,longitude,state_full,state_abbrev,campaign,url,message,street_view_date,mentions_bible_jesus_christians,mentions_n,mentions_y,no_message,image
226,29.21907,-82.18372,Florida,FL,,"https://www.google.com/maps/@29.2187321,-82.184311,3a,75y,37.44h,84.04t/data=!3m6!1e1!3m4!1sA7mKJ8D6T2B6-2PvHJTAcg!2e0!7i13312!8i6656",There IS Evidence for GOD!,16-Jul,N,N,,,https://s18.postimg.org/6zrd4ekw9/226.png
320,37.65487,-121.02648,California,CA,,"https://www.google.com/maps/@37.6556092,-121.0260295,3a,75y,221.29h,97.02t/data=!3m6!1e1!3m4!1sjHrQOhbAskeAXPHWlZYQug!2e0!7i13312!8i6656",Beyond Reasonable Doubt Jesus is Alive!,17-Mar,N,N,,,https://s17.postimg.org/nim6xn4pb/320.png
391,39.0293,-95.6188,Kansas,KS,,"https://www.google.com/maps/place/39%C2%B001'45.5%22N+95%C2%B037'07.7%22W/@39.0292629,-95.61752,81a,35y,273.27h,45.02t/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d39.0293!4d-95.6188",Jesus your only way to God.,Data not available,N,N,,,https://s17.postimg.org/695pz0can/391.png
393,35.36921,-84.556459,Tennessee,TN,,"https://www.google.com/maps/@35.3689816,-84.5563282,3a,60y,90t/data=!3m6!1e1!3m4!1sS31E38Lwx2ThIen4nYazBA!2e0!7i13312!8i6656",In despair? Jesus is your hope!,16-Apr,N,N,,,https://s18.postimg.org/gqta82yg9/393.png
426,36.4607,-77.6149,North Carolina,NC,,"https://www.google.com/maps/@36.4599362,-77.6148393,3a,75y,344.95h,81.84t/data=!3m6!1e1!3m4!1s3ai7W2NZkyRyyXtFemoT1g!2e0!7i13312!8i6656",There IS Evidence for GOD!,16-Nov,N,N,,,https://s18.postimg.org/6938chi89/426.png
457,38.8249,-91.2027,Montana,MO,,"https://www.google.com/maps/@38.8252049,-91.2017056,3a,60y,241.81h,81.44t/data=!3m6!1e1!3m4!1sXFYMFD0uE2tsyarSCEiX1g!2e0!7i13312!8i6656",In the beginning GOD CREATED.,16-Nov,N,N,,,https://s17.postimg.org/8b67dk7sf/457.png
463,40.0515,-80.6716,West Virginia,WV,,"https://www.google.com/maps/@40.0523286,-80.6705778,3a,15y,219.14h,92.61t/data=!3m6!1e1!3m4!1sT9uNlaNF4P1lKUHYy1PHtQ!2e0!7i13312!8i6656",Jesus your only way to God.,16-Oct,N,N,,,https://s17.postimg.org/f2wmg1mdr/463.png
474,42.8771,-78.8654,New York,NY,,"https://www.google.com/maps/@42.8773174,-78.8657395,3a,15.9y,156.59h,108.44t/data=!3m6!1e1!3m4!1s0Dq1ZvMiMjWcNxZYDZ_Y6w!2e0!7i13312!8i6656","After you die, you will meet God.",14-Sep,N,N,,,https://s17.postimg.org/oaoux1yof/474.png
482,30.4083,-89.2206,Mississippi,MS,,"https://www.google.com/maps/@30.4082243,-89.2206228,3a,24y,206.18h,99.85t/data=!3m6!1e1!3m4!1syGWxP_QGRBYx1JFHvrvUxQ!2e0!7i13312!8i6656",There IS Evidence for GOD!,17-Jan,N,N,,,https://s18.postimg.org/9wee4kgeh/482.png
488,38.0078,-87.4688,Indiana,IN,,"https://www.google.com/maps/@38.0065894,-87.4680825,3a,15y,332.17h,90.08t/data=!3m6!1e1!3m4!1sKxK-WOWjSnoXqh49-kBouw!2e0!7i13312!8i6656",In the beginning GOD CREATED.,16-Nov,N,N,,,https://s17.postimg.org/d9tprxqz3/488.png
